Country/Region,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020
France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5326932356791123e-06,1.5326932356791123e-06,1.5326932356791123e-06,1.5326932356791123e-06,1.5326932356791123e-06,1.5326932356791123e-06,1.5326932356791123e-06,1.5326932356791123e-06,1.5326932356791123e-06,1.5326932356791123e-06,1.5326932356791123e-06,3.0653864713582247e-06,3.0653864713582247e-06,3.0653864713582247e-06,3.0653864713582247e-06,3.0653864713582247e-06,4.598079707037336e-06,6.130772942716449e-06,6.130772942716449e-06,9.196159414074672e-06,1.3794239121112009e-05,1.6859625592470235e-05,2.912117147790313e-05,2.912117147790313e-05,5.05788767774107e-05,7.356927531259737e-05,7.356927531259737e-05,0.00012108276561864985,0.0001394750844467992,0.0001394750844467992,0.00022837129211618768,0.00022837129211618768,0.00022837129211618768,0.00037397714950570334,0.0006912446492912795,0.0008629062916873402,0.0010361006273190798,0.0013211815691553947,0.0016890279457183817,0.0020430800831602565,0.0026025131141831324,0.0030607883916511872,0.0035512502270685026,0.004001862038358162,0.00464406050410771,0.005413472508418624,0.006765307942287601,0.008273478086195848,0.009993159896627812,0.011608618567033597,0.012404086356351053,0.013680819821671755,0.015852646136629057,0.016686431256838493,0.018741772885884182,0.02025454110949947,0.021229334007391385,0.022089174912607364,0.022968940829887177,0.024110797290468115,0.026314810163374676,0.027468928169841048,0.028635307722192853,0.029619296779498844,0.03022471060759209,0.031063093807508567,0.03187695391565417,0.03271073903586361,0.03350160874547403,0.034099359107388885,0.03466492291135448,0.035035834674388824,0.0357056216183806,0.03626812003587483,0.03692258004750981,0.03736552839262108,0.03769965551799912,0.037954082595121855,0.03816406156840989,0.038630000312056344,0.039140387159537486,0.03956187779934924,0.039834697195300126,0.04020714165157015,0.040329757110424476,0.04043704563692202,0.040840143957905625,0.04137352120392195,0.04150073474248332,0.04203871006820669,0.04219811016471731,0.04219811016471731,0.04308553954817552,0.04328632236204949,0.04295372792990712,0.04312232418583182,0.04324953772439319,0.04336295702383344,0.043428862832967645,0.04348250709621641,0.043620449487427534,0.043732336093632106,0.04383349384718693,0.043934651600741746,0.044014351648997065,0.044101715163430776,0.04414922865373683,0.04419674214404288,0.04436074032026054,0.044484888472350555,0.04455232697472043,0.04462283086356167,0.04467034435386773,0.044690269365931554,0.044773034800658223,0.044906379112162303,0.04494163105658292,0.044983013773946263,0.045025929184545274,0.045062713822201575,0.045076508061322684,0.045120956165157385,0.045291085114317765,0.045334000524916776,0.045376915935515794,0.0453983736408153,0.04542289673258616,0.04543362558523592,0.04546887752965654,0.04555624104409025,0.04557310066968272,0.045605287227631984,0.045645137251759636,0.045645137251759636,0.045645137251759636,0.04569878151500841
Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.388623758950218e-06,2.388623758950218e-06,3.582935638425327e-06,3.582935638425327e-06,8.360183156325763e-06,1.0748806915275982e-05,1.3137430674226197e-05,2.0303301951076852e-05,2.8663485107402615e-05,3.344073262530305e-05,5.254972269690479e-05,8.001889592483231e-05,0.00010032219787590916,0.00011226531667066024,0.00014690036117543843,0.00018750696507759213,0.00024602824717187246,0.00031888127181985414,0.00040845466278048733,0.0005171370438127222,0.0006365682317602331,0.0007703311622614452,0.0009255917065932094,0.0010987669291171002,0.0013221032505789457,0.001522747646330764,0.0017245863539620573,0.0018917900170885727,0.0021617045018499474,0.00240773274902182,0.002805438604887031,0.003113571069791609,0.0033046609705076266,0.0032676373022438986,0.003609210499773779,0.003814632143043498,0.003934063330991009,0.0045431623895233145,0.004839351735633142,0.005197645299475674,0.005325436670579511,0.00547711427927285,0.00580674435800798,0.006010971689398224,0.0063047724117491,0.006658288728073732,0.006879236425776629,0.0070189709156752165,0.007137207791743251,0.007316354573664518,0.0075408852070058385,0.007723614924565529,0.007909927577763647,0.008044884820144335,0.008135652522984442,0.0082001453644761,0.008351822973169437,0.008351822973169437,0.008688618923181419,0.008828353413080007,0.008969282214858067,0.009015860378157598,0.0090397466157471,0.00914962330865881,0.009241585323378394,0.00938848568455383,0.00941595485778176,0.009431480912214936,0.009480447699273415,0.009509111184380819,0.009558077971439297,0.009651234298038356,0.009726475946445289,0.00979694034733432,0.009826798144321197,0.009866210436343876,0.009892485297692329,0.00992353740655868,0.009998779054965613,0.010065660520216218,0.010115821619154173,0.010156428223056327,0.010187480331922679,0.010199423450717431,0.010217338128909558,0.010226892623945359,0.010273470787244887,0.010312883079267567,0.010340352252495494,0.01035826693068762,0.01037259867324132,0.010384541792036073,0.010433508579094553,0.010452617569166154,0.010476503806755655,0.010489641237429882,0.010501584356224634,0.010511138851260435,0.010518304722537284,0.010533830776970461,0.010570854445234189,0.010599517930341593,0.010613849672895293,0.010623404167931096,0.010623404167931096,0.010628181415448995,0.010646096093641122,0.010662816459953773,0.010677148202507475,0.010707005999494352,0.010710588935132777,0.010710588935132777,0.010720143430168578
Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0298468683522515e-05,2.0298468683522515e-05,2.0298468683522515e-05,4.059693736704503e-05,4.059693736704503e-05,4.059693736704503e-05,4.059693736704503e-05,4.059693736704503e-05,6.089540605056754e-05,6.089540605056754e-05,6.089540605056754e-05,8.119387473409006e-05,0.00012179081210113508,0.0001420892807846576,0.00018268621815170264,0.00038567090498692775,0.0004465663110374953,0.0007307448726068106,0.0009337295594420358,0.0010961173089102157,0.0014411912765300986,0.0017253698380994137,0.0019892499309852067,0.0024358162420227017,0.002780890209642585,0.003207158051996557,0.0035319335509329175,0.004262678423539728,0.004770140140627791,0.005338497263766421,0.005825660512170962,0.006495509978727205,0.00677968854029652,0.007408941069485718,0.008241178285510142,0.009012520095483997,0.009865055780191943,0.010758188402266933,0.011590425618291357,0.012382065896948733,0.013945047985579969,0.014817882138971436,0.015609522417628812,0.016116984134716877,0.02058264724509183,0.021577272210584433,0.022064435458988976,0.02236891248924181,0.023525925204202595,0.024155177733391795,0.02500771341809974,0.025677562884655985,0.026103830727009957,0.02644890469462984,0.0267736801935662,0.027179649567236647,0.027910394439843455,0.02847875156298209,0.029006511748753672,0.029351585716373554,0.029595167340575827,0.029777853558727526,0.030204121401081502,0.030386807619233208,0.030569493837384908,0.03081307546158718,0.031117552491840016,0.031320537178675244,0.031401731053409335,0.03168590961497864,0.03188889430181387,0.03213247592601614,0.032315162144167846,0.03255874376837011,0.0326399376431042,0.03259934070573716,0.03278202692388886,0.033106802422825224,0.033269190172293406,0.03339098098439454,0.03351277179649567,0.033533070265179196,0.03349247332781215,0.03365486107728033,0.033675159545963854,0.03377665188938147,0.0338984427014826,0.03406083045095078,0.0340811289196343,0.03416232279436839,0.034324710543836574,0.034405904418570665,0.03456829216803884,0.03460888910540589,0.03460888910540589,0.034629187574089414,0.034629187574089414,0.03469008298013998,0.034710381448823505,0.034791575323557596,0.034791575323557596,0.03481187379224111,0.03481187379224111,0.034852470729608155,0.03491336613565873,0.03503515694775986,0.035055455416443386,0.03511635082249395,0.035197544697228036,0.03521784316591157,0.03521784316591157
Israel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1590918469015852e-05,1.1590918469015852e-05,1.1590918469015852e-05,3.4772755407047555e-05,5.795459234507926e-05,9.272734775212681e-05,0.00013909102162819022,0.00013909102162819022,0.00017386377703523776,0.00018545469550425363,0.00023181836938031703,0.00030136388019441217,0.00041727306488457066,0.00046363673876063406,0.0005100004126366974,0.0005679550049817767,0.0006606823527339035,0.0007534097004860303,0.0008461370482381571,0.0009968189883353632,0.001101137254556506,0.001170682765370601,0.0011938646023086326,0.0013445465424058388,0.0014256829716889497,0.0015068194009720606,0.001645910422600251,0.0017502286888213935,0.0019009106289185997,0.0019936379766707264,0.002051592569015806,0.0021327289982989166,0.002190683590643996,0.0022254563460510435,0.002248638182989075,0.0023065927753341546,0.0023297746122721862,0.0023645473676792337,0.002434092878493329,0.002492047470838408,0.002573183900121519,0.0026079566555285666,0.00265432032940463,0.0026890930848116777,0.002723865840218725,0.0027586385956257726,0.0027702295140947884,0.002781820432563804,0.0028397750249088837,0.0028629568618469153,0.0029209114541919948,0.0029904569650060896,0.0030136388019441213,0.003060002475820185,0.003071593394289201,0.0030831843127582166,0.003106366149696248,0.003152729823572312,0.003199093497448375,0.0032222753343864067,0.003233866252855423,0.003233866252855423,0.003233866252855423,0.003233866252855423,0.003233866252855423,0.0032570480897934546,0.0032570480897934546,0.0032570480897934546,0.003291820845200502,0.003291820845200502,0.003291820845200502,0.0033034117636695183,0.0033034117636695183,0.003361366356014597,0.003372957274483613,0.003372957274483613,0.003372957274483613,0.0034193209483596764,0.003454093703766724,0.003454093703766724,0.00346568462223574,0.00346568462223574,0.0034772755407047554,0.0034772755407047554,0.0034772755407047554,0.0034772755407047554,0.003500457377642787,0.003500457377642787,0.0035120482961118033,0.0035120482961118033,0.0035236392145808187,0.003535230133049835,0.0035468210515188507,0.003558411969987867,0.0035700028884568824,0.0035700028884568824,0.0035815938069258986,0.0036395483992709772,0.003674321154678025,0.003685912073147041,0.003697502991616057
Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6534549006286831e-06,3.3069098012573662e-06,4.9603647018860496e-06,1.1574184304400783e-05,1.6534549006286834e-05,1.9841458807544198e-05,2.8108733310687614e-05,3.472255291320235e-05,4.795019211823181e-05,5.621746662137523e-05,8.597965483269153e-05,0.00013062293714966597,0.0001769196743672691,0.00024471132529304515,0.0003257306154238506,0.0003852549918464832,0.0006051644936300981,0.0007655496189910803,0.0010433300422966992,0.0013674072028199212,0.0016799101790387421,0.002093273904195913,0.0023826285118059326,0.002991099915237288,0.003568155675556698,0.004138597616273594,0.004923988694072219,0.005630013936640667,0.006666730159334851,0.007977919895533396,0.009054319035842669,0.010048045431120508,0.01127656242228762,0.012405872119417011,0.013583132008664634,0.015102657062342394,0.016572578469001294,0.01782259037387658,0.019165195753187068,0.020549137505013273,0.02175119921777033,0.023007824942248126,0.024274371396129698,0.025400374183457836,0.026268438006287892,0.027320035323087737,0.028318722083067457,0.029214894639208205,0.030223502128591703,0.03116597142195005,0.03218946000543921,0.032902099067610165,0.033837954541366004,0.03483333439154447,0.03578903132410785,0.03665709514693791,0.0376078317147994,0.038404796976902425,0.039120742948874646,0.03987141147376007,0.04075435639069579,0.04147691618227052,0.04224411925616223,0.04293857031442628,0.043624754098187175,0.044054652372350636,0.04460525285425999,0.04523687262630014,0.04577093855920321,0.046242173205882385,0.0466869525741515,0.0474706901970495,0.047758391349758886,0.04808081505538148,0.04847103041192985,0.049081155270261835,0.04953420191303409,0.04993599145388686,0.05025676170460883,0.05052958176321257,0.05082555019042509,0.05110994443333323,0.05143236813895582,0.051865573322920536,0.05226570940887268,0.05251868800866886,0.052758438969260024,0.052922131004422265,0.053189990698324106,0.053456196937325326,0.053714135901823404,0.05392908503890513,0.054125846172079946,0.05420851891711138,0.05436063676796922,0.05448960625021826,0.05468306047359181,0.054798802316635815,0.054942652892990516,0.0551261863869603,0.05525019550450745,0.05534940279854517,0.05544034281807975,0.055557738116024394,0.055703242147279716,0.055843785813833154,0.05596283456667841,0.05605046767641174,0.056157942244952595,0.05628856518210227,0.0564059604800469,0.05649359358978022,0.05658618706421543,0.05671515654646446,0.05678790856209212,0.056830898389508465,0.05688711585612985,0.05695821441685688,0.057067342440298374,0.05714505482062793,0.05722607411075873,0.05726575702837382,0.05730378649108827,0.05733354867929959,0.0572822915773801,0.05733850904400148,0.05738811269102034,0.05740134033022536,0.057437716338039194,0.05744763706744297
Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.838635300739346e-06,5.838635300739346e-06,1.7515905902218038e-05,1.7515905902218038e-05,2.3354541202957385e-05,2.9193176503696732e-05,2.9193176503696732e-05,5.8386353007393465e-05,7.006362360887215e-05,0.00011677270601478693,0.0001401272472177443,0.00025106131793179186,0.0003386408474428821,0.0004495749181569296,0.00062473397717911,0.0007998930362012904,0.0010509543541330824,0.00124946795435822,0.0016173019783047987,0.0020843928023639466,0.0025398063558216156,0.0031937335095044224,0.0037367265924731817,0.004507426452170776,0.005050419535139535,0.00607218071276892,0.006860396478368731,0.007829609938291465,0.008699566598101626,0.009668780058024358,0.010340223117609381,0.010941602553585535,0.012307843213958542,0.013166122603167227,0.01403024062767665,0.014713360957863152,0.015489899452861486,0.016038731171130985,0.01654085380699457,0.01725316731368477,0.018362508020825244,0.019425139645559805,0.02026590312886627,0.02109498934157126,0.021585434706833363,0.0219766232719829,0.022939998096604894,0.023751568403407662,0.024475559180699342,0.025129486334382146,0.02583012257047087,0.026221311135620408,0.026472372453552197,0.026752626947987686,0.027599229066594892,0.028089674431856993,0.02866186069132945,0.02921069240959895,0.029613558245349964,0.029765362763169188,0.03027332403433351,0.03048351490516013,0.03097979890572297,0.031394342012075464,0.03176801467132278,0.03187311010673609,0.031966528271547924,0.03228181457778785,0.03258542361342629,0.032748905401846995,0.03305835307278618,0.033215996225906146,0.03327438257891353,0.03335612347312389,0.033478734814439415,0.03367140977936381,0.033829052932483776,0.03390495519139338,0.03403924380331039,0.03410346879161852,0.03415017787402443,0.034301982391843656,0.03438956192135475,0.03457639825097841,0.03473988003939911,0.0348566527454139,0.034885845921917596,0.03492087773372203,0.03495007091022573,0.03500845726323312,0.035084359522142734,0.03517193905165382,0.03520697086345826,0.035218648134059734,0.03523616403996196,0.03532374356947304,0.03538796855778118,0.035399645828382655,0.03545219354608931,0.03547554808729227,0.03548722535789375,0.03552225716969818,0.03555145034620188,0.03557480488740484,0.03559815942860779,0.03561567533451001,0.03566238441691593,0.03566822305221667,0.03566822305221667,0.035697416228720365,0.035709093499321845,0.03572660940522406,0.03574412531112628,0.03575580258172776,0.03575580258172776,0.03576747985232923
Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.801451026412852e-06,1.9602902052825705e-05,2.9404353079238554e-05,5.880870615847711e-05,0.00011761741231695422,0.00013722031436977993,0.00022543337360749562,0.0003234478838716241,0.0004214623941357526,0.0005880870615847711,0.0007449102780073768,0.0009801451026412852,0.0011663726721431295,0.0013722031436977993,0.0015682321642260563,0.0018328713419392035,0.002048503264520286,0.0024111569524975615,0.002607185973025819,0.0028914280527917915,0.0030482512692143974,0.003381500604112434,0.003724551390036884,0.004008793469802856,0.004263631196489591,0.00460668198241404,0.0049399313173120775,0.005243776299130876,0.005557422731976088,0.0058710691648212986,0.006165112695613684,0.0064395533243532446,0.00673359685514563,0.006998236032858776,0.007204066504413446,0.007468705682126594,0.007694139055734088,0.008037189841658538,0.008370439176556575,0.00862527690324331,0.008850710276850806,0.009095746552511127,0.009291775573039384,0.009536811848699705,0.009693635065122311,0.009870061183597742,0.010026884400020348,0.010222913420548605,0.010418942441076861,0.010526758402367404,0.010673780167763595,0.010830603384186201,0.010918816443423917,0.01103643385574087,0.011124646914978588,0.011212859974216303,0.011399087543718147,0.011516704956035101,0.011604918015272817,0.011663726721431294,0.01179114558477466,0.011938167350170854,0.012065586213514222,0.012222409429936828,0.012379232646359432,0.01251645296072921,0.012634070373046168,0.012761489236389534,0.012898709550759313,0.013035929865129093,0.013153547277446049,0.013290767591815827,0.013418186455159195,0.013555406769528974,0.01368282563287234,0.013820045947242121,0.013957266261611902,0.014074883673928857,0.014182699635219398,0.0142611112434307,0.014359125753694829,0.014447338812932545,0.01449634606806461,0.014555154774223086,0.014623764931407976,0.01467277218654004,0.01474138234372493,0.014751183794751342,0.014819793951936232,0.014868801207068297,0.014898205560147535,0.01491780846220036,0.014927609913226773,0.014937411364253188,0.014966815717332426,0.014976617168358837,0.014996220070411664,0.015035425874517316,0.015094234580675792,0.01512363893375503,0.015182447639913508,0.015241256346071985,0.015300065052230463,0.0153294694053097,0.015368675209415351
